x,y,z,oncoprotein
-43.794950,51.905053,-106.286274,0.796988
-43.794950,68.730474,-106.286274,1.122556
-43.794950,85.555895,-106.286274,0.955224
-29.223708,-91.111026,-106.286274,0.874716
-29.223708,-74.285605,-106.286274,0.680022
-29.223708,-57.460184,-106.286274,1.065000
-29.223708,-40.634763,-106.286274,0.701514
-29.223708,-23.809342,-106.286274,1.232405
-29.223708,-6.983921,-106.286274,0.943073
-29.223708,9.841500,-106.286274,0.825038
-29.223708,26.666922,-106.286274,0.670887
-29.223708,43.492343,-106.286274,1.037060
-29.223708,60.317764,-106.286274,1.606620
-29.223708,77.143185,-106.286274,1.020434
-29.223708,93.968606,-106.286274,0.360277
-14.652466,-99.523737,-106.286274,1.052462
-14.652466,-82.698316,-106.286274,1.332216
-14.652466,-65.872895,-106.286274,1.424196
-14.652466,-49.047473,-106.286274,0.787718
-14.652466,-32.222052,-106.286274,0.780775
-14.652466,-15.396631,-106.286274,0.823058
-14.652466,1.428790,-106.286274,1.280844
-14.652466,18.254211,-106.286274,1.370724
-14.652466,35.079632,-106.286274,0.901903
-14.652466,51.905053,-106.286274,0.944236
-14.652466,68.730474,-106.286274,0.860757
-14.652466,85.555895,-106.286274,0.668502
-14.652466,102.381316,-106.286274,1.101104
-0.081224,-91.111026,-106.286274,0.710748
-0.081224,-74.285605,-106.286274,0.419873
-0.081224,-57.460184,-106.286274,1.036695
-0.081224,-40.634763,-106.286274,0.533324
-0.081224,-23.809342,-106.286274,1.003167
-0.081224,-6.983921,-106.286274,0.577702
-0.081224,9.841500,-106.286274,1.236840
-0.081224,26.666922,-106.286274,0.595628
-0.081224,43.492343,-106.286274,1.101567
-0.081224,60.317764,-106.286274,1.191014
-0.081224,77.143185,-106.286274,0.850488
-0.081224,93.968606,-106.286274,0.787651
14.490018,-99.523737,-106.286274,0.957293
14.490018,-82.698316,-106.286274,0.942403
14.490018,-65.872895,-106.286274,1.252288
14.490018,-49.047473,-106.286274,1.265110
14.490018,-32.222052,-106.286274,0.504548
14.490018,-15.396631,-106.286274,0.872466
14.490018,1.428790,-106.286274,1.202941
14.490018,18.254211,-106.286274,0.707849
14.490018,35.079632,-106.286274,0.893973
14.490018,51.905053,-106.286274,1.140640
14.490018,68.730474,-106.286274,1.046990
14.490018,85.555895,-106.286274,1.547592
14.490018,102.381316,-106.286274,1.312340
29.061260,-91.111026,-106.286274,1.359766
29.061260,-74.285605,-106.286274,1.260437
29.061260,-57.460184,-106.286274,1.356792
29.061260,-40.634763,-106.286274,0.985568
29.061260,-23.809342,-106.286274,0.964018
29.061260,-6.983921,-106.286274,0.487173
29.061260,9.841500,-106.286274,1.235790
29.061260,26.666922,-106.286274,0.600167
29.061260,43.492343,-106.286274,1.072705
29.061260,60.317764,-106.286274,0.674713
29.061260,77.143185,-106.286274,0.623409
29.061260,93.968606,-106.286274,0.896675
43.632503,-82.698316,-106.286274,1.230374
43.632503,-65.872895,-106.286274,1.399164
43.632503,-49.047473,-106.286274,1.410890
43.632503,-32.222052,-106.286274,0.781526
43.632503,-15.396631,-106.286274,1.119228
43.632503,1.428790,-106.286274,1.510310
43.632503,18.254211,-106.286274,0.898727
43.632503,35.079632,-106.286274,0.786102
43.632503,51.905053,-106.286274,1.166531
43.632503,68.730474,-106.286274,0.367520
43.632503,85.555895,-106.286274,0.528818
58.203745,-74.285605,-106.286274,0.855732
58.203745,-57.460184,-106.286274,1.248435
58.203745,-40.634763,-106.286274,0.805692
58.203745,-23.809342,-106.286274,1.154711
58.203745,-6.983921,-106.286274,1.040268
58.203745,9.841500,-106.286274,1.290239
58.203745,26.666922,-106.286274,0.616154
